tag;category;type;transaction_type
MOORE MANAGEMENT SER;Accountants;business;OnlineBankingPayments
MOORE STELLENBOSCH;Auditors;business;OnlineBankingPayments
ATLANTIC CLEANING SERVICES;Cleaning;business;OnlineBankingPayments
APEX CONSTRUCTION;Construction;business;OnlineBankingPayments
CHARITY;Domestic Salaries;business;OnlineBankingPayments
GEORGE;Domestic Salaries;business;OnlineBankingPayments
JOICE;Domestic Salaries;business;OnlineBankingPayments
JOICE BULELWA;Domestic Salaries;business;OnlineBankingPayments
JOICE NANNY;Domestic Salaries;business;OnlineBankingPayments
TANJA;Domestic Salaries;business;OnlineBankingPayments
ELECTROCO;Electricity;business;OnlineBankingPayments
SUN POWER PLANET;Electricity;business;OnlineBankingPayments
SLAVE DISTRIBUTORS;Events;business;OnlineBankingPayments
REMOTE ENTRY SYSTEMS;Gates;business;OnlineBankingPayments
FLANDRIA;Hardware_Store;business;OnlineBankingPayments
INVESTECPB 363177001;Home Loan;business;DebitOrders
INVESTECPB 363177002;Home Loan;business;DebitOrders
INVESTECPB 363177003;Home Loan;business;DebitOrders
RAWSON;Home Rental;business;OnlineBankingPayments
TRIGGER BOX;Hosting;business;OnlineBankingPayments
HEROTEL;ISP;business;DebitOrders
VOX INTERNET;ISP;business;OnlineBankingPayments
VOX TELECOMMUNICATIONS;ISP;business;OnlineBankingPayments
FASTER PAYMENT FEE;Interest;business;OnlineBankingPayments
AIRCON AND REFRIGERATION;Kitchen Appliances;business;OnlineBankingPayments
JP MULLER;Legal;business;OnlineBankingPayments
BRENDAN BESPROEING;Maintenance;business;OnlineBankingPayments
CW PLUMBERS;Maintenance;business;OnlineBankingPayments
JOSEPH ROSS;Maintenance;business;OnlineBankingPayments
POOL NURSE;Maintenance;business;OnlineBankingPayments
STEVEN ISAAC;Maintenance;business;OnlineBankingPayments
1 BOSCHENDAL MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
13 IRENE PARK MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
18 DR MALAN MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
18 IRENE PARK MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
23IRENE PARK MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
4 OTTERKUIL MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
6 IRENE PARK MUNICIPALITY;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 1 BOSCH;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 13 IRENE;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 18 DR MALAN;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 18 IRENE;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 23 IRENE;Municipal Cost;business;OnlineBankingPayments
MUNICIPALITY - 6 IRENE;Municipal Cost;business;OnlineBankingPayments
STELLENBOSCH MUN;Municipal Cost;business;OnlineBankingPayments
STELLENBOSCH MUN - OTTERKUIL;Municipal Cost;business;OnlineBankingPayments
WEBSTEL PROJECTS;Paving;business;OnlineBankingPayments
CALTEX;Petrol Station;business;CardPurchases
CLTX;Petrol Station;business;CardPurchases
ENGEN;Petrol Station;business;CardPurchases
FRESHSTOP;Petrol Station;business;CardPurchases
SHELL;Petrol Station;business;CardPurchases
TOTAL;Petrol Station;business;CardPurchases
DRAINMEN;Plumbing;business;OnlineBankingPayments
BATHROOM ROOM 4 U;Plumbing Supplies;business;OnlineBankingPayments
AMSECURITY;Security;business;DebitOrders
SPIKES AND RAISES;Security;business;OnlineBankingPayments
MOORE TAX SERVICES;Tax Service;business;OnlineBankingPayments
MSVA TAX;Tax Service;business;OnlineBankingPayments
1 B-E-D ANDREW;Rental Income;income;Deposits
1 B-EN-D ANDREW;Rental Income;income;Deposits
1 BD FLAT DALEEN;Rental Income;income;Deposits
